City,State,Country,Latitude,Longitude,Air Quality,Main Pollutant,Humidity,Pressure,Temperature,Wind Speed,Date
Enshi,Hubei,China,109.478931,30.278325,55,p2,91,1013,14,2.1,2019-10-09
Ezhou,Hubei,China,114.8484493512,30.4212689115,74,p2,64,1013,21,1.06,2019-10-09
Huanggang,Hubei,China,114.9066180466,30.4461089379,69,p2,64,1013,21,1.06,2019-10-09
Huangshi,Hubei,China,115.0506831639,30.2161271277,61,p2,61,1013,21,1.88,2019-10-09
Jingmen,Hubei,China,112.2331914099,31.0411705406,77,p2,74,1013,17,3.36,2019-10-09
Jingzhou,Hubei,China,112.0998571807,30.3961033609,72,p2,80,1005,18,3.75,2019-10-09
Shashi,Hubei,China,112.24472,30.30722,76,p2,80,1005,18,3.75,2019-10-09
Shiyan,Hubei,China,111.0650931349,33.22679604,54,p2,90,1016,12,1.51,2019-10-09
Suizhou,Hubei,China,113.3793583643,31.7178576082,72,p2,74,1013,18,1.7,2019-10-09
Wuhan,Hubei,China,114.4444954225,30.6332050564,69,p2,78,1013,22,1.0,2019-10-09
Xiangyang,Hubei,China,112.155,32.0197,82,p2,72,1014,18,3.75,2019-10-09
Xianning,Hubei,China,114.3000605921,29.8806567577,64,p2,68,1012,20,0.35,2019-10-09
Xiaogan,Hubei,China,113.916903,30.924568,71,p2,78,1013,22,1.0,2019-10-09
Yichang,Hubei,China,111.380922081,30.6786593406,107,p2,94,1014,14,0.88,2019-10-09
