,City,State/Province,Country,Longitude,Latitude,Air Quality,Temperature,Humidity,Pressure,Wind Speed,Date,Population
18,Mumbai,Maharashtra,India,72.88261,19.07283,94,31,74,1010,6.74,2019-10-08,12400000
28,Lima,Lima,Peru,-76.9689867,-12.1004219,91,16,82,1014,3.1,2019-10-08,9752000
10,Qingdao,Shandong,China,120.3844281837,36.1052149013,91,11,57,1023,3.0,2019-10-08,6188000
9,Shenyang,Liaoning,China,123.519825,41.74871,86,8,40,1019,2.0,2019-10-08,6255000
3,Shenzhen,Guangdong,China,113.978554,22.540485,76,27,69,1016,7.2,2019-10-08,11908000
23,Tehran,Tehran,Iran,51.499,35.63,74,24,13,1023,4.1,2019-10-08,8847000
13,Rio de Janeiro,Rio de Janeiro,Brazil,-43.18223,-22.90642,74,24,83,1016,2.1,2019-10-08,6454000
34,Ho Chi Minh City,Ho Chi Minh City,Vietnam,106.700035,10.782773,73,29,79,1012,2.6,2019-10-08,8426000
0,Tianjin,Tianjin,China,117.213363,39.22679,72,14,66,1021,2.0,2019-10-08,12784000
6,Chengdu,Sichuan,China,104.0570029,30.65547329999999,72,18,77,1018,1.0,2019-10-08,10152000
36,Los Angeles,California,USA,-118.2417,34.0669,69,18,64,1012,0.77,2019-10-08,4000000
29,Cairo,Cairo,Egypt,31.24967,30.06263,66,31,29,1014,4.6,2019-10-08,9500000
31,Lagos,Lagos,Nigeria,3.428268,6.455455,64,25,88,1010,2.1,2019-10-08,8048000
15,Karachi,Sindh,Pakistan,67.05294147133827,24.818095393631435,63,29,62,1012,5.1,2019-10-08,18000000
25,Santiago,Santiago Metropolitan,Chile,-70.72019259999999,-33.4242189,60,23,33,1017,2.1,2019-10-08,6158000
